horizon:16 mse:1.204679250717163, mae:1.052158236503601, smape:66.82615280151367, dtw:not calculated
horizon:17 mse:1.1100614070892334, mae:1.0065118074417114, smape:64.11123275756836, dtw:not calculated
horizon:18 mse:0.5003461241722107, mae:0.6712108850479126, smape:43.8267707824707, dtw:not calculated
horizon:19 mse:0.15348242223262787, mae:0.3449448049068451, smape:22.81847596168518, dtw:not calculated
horizon:20 mse:0.4334047734737396, mae:0.5949969291687012, smape:38.86116445064545, dtw:not calculated
horizon:21 mse:0.13064157962799072, mae:0.326633483171463, smape:21.644340455532074, dtw:not calculated
horizon:22 mse:0.11539075523614883, mae:0.30756449699401855, smape:20.396709442138672, dtw:not calculated
horizon:23 mse:0.04952171444892883, mae:0.1888948678970337, smape:12.564341723918915, dtw:not calculated
horizon:24 mse:0.06552381068468094, mae:0.2289087027311325, smape:15.215860307216644, dtw:not calculated
horizon:25 mse:0.17939214408397675, mae:0.38279926776885986, smape:25.30488669872284, dtw:not calculated
horizon:26 mse:0.1523747742176056, mae:0.3521353304386139, smape:23.305678367614746, dtw:not calculated
horizon:27 mse:0.2540716826915741, mae:0.418464332818985, smape:27.50987410545349, dtw:not calculated
horizon:28 mse:0.088288314640522, mae:0.2578846216201782, smape:17.118443548679352, dtw:not calculated
horizon:29 mse:0.038699738681316376, mae:0.15322577953338623, smape:10.191255807876587, dtw:not calculated
horizon:30 mse:0.053643692284822464, mae:0.1500406116247177, smape:9.949792176485062, dtw:not calculated
horizon:31 mse:0.31152090430259705, mae:0.44189339876174927, smape:28.85310649871826, dtw:not calculated
horizon:32 mse:0.09716589748859406, mae:0.23287521302700043, smape:15.41513055562973, dtw:not calculated
horizon:33 mse:0.2731955647468567, mae:0.49502652883529663, smape:32.6258659362793, dtw:not calculated
horizon:34 mse:0.16642391681671143, mae:0.37660568952560425, smape:24.921467900276184, dtw:not calculated
horizon:35 mse:0.2109077125787735, mae:0.4359722435474396, smape:28.804907202720642, dtw:not calculated
horizon:36 mse:0.25309455394744873, mae:0.42251139879226685, smape:27.723610401153564, dtw:not calculated
===============================================================================
average metrics: horizon upto:6 mse:0.576551616191864, mae:0.6302731037139893, smape:40.52935540676117, dtw:not calculated
average metrics: horizon upto:12 mse:0.7071012854576111, mae:0.7159405946731567, smape:45.88244557380676, dtw:not calculated
===============================================================================
average of horizons: mse:0.48094794154167175, mae:0.5614646673202515, smape:36.27851903438568, dtw:not calculated
mean smape over horizons:  36.2785206693742
fs47816@b8-3 Time-Series-Library$ python -u run.py   --task_name long_term_forecast   --is_training 1   --root_path ./dataset/illness/   --data_path national_illness_24_4.csv   --model_id modelitrans   --model iTransformer   --data custom   --features MS   --seq_len 64   --label_len 0   --pred_len 36   --e_layers 3   --d_layers 1   --factor 3   --enc_in 5   --dec_in 5   --c_out 5   --des 'Exp'   --d_model 512  --d_ff 512  --target ILITOTAL   --itr 1 --with_retrain 0





horizon:1 mse:0.041893165558576584, mae:0.20055171847343445, smape:13.354916870594025, dtw:not calculated
horizon:2 mse:0.07963345944881439, mae:0.2692490220069885, smape:17.89732724428177, dtw:not calculated
horizon:3 mse:0.03583473712205887, mae:0.169869065284729, smape:11.310181766748428, dtw:not calculated
horizon:4 mse:0.03802571818232536, mae:0.1685221642255783, smape:11.217031627893448, dtw:not calculated
horizon:5 mse:0.28760212659835815, mae:0.5045267343521118, smape:33.228760957717896, dtw:not calculated
horizon:6 mse:0.32877033948898315, mae:0.5498823523521423, smape:36.167317628860474, dtw:not calculated
horizon:7 mse:0.27619946002960205, mae:0.44332534074783325, smape:29.108881950378418, dtw:not calculated
horizon:8 mse:0.35895851254463196, mae:0.5202527642250061, smape:33.99178385734558, dtw:not calculated
horizon:9 mse:0.2225150763988495, mae:0.4453412592411041, smape:29.409703612327576, dtw:not calculated
horizon:10 mse:0.18592478334903717, mae:0.39905664324760437, smape:26.388737559318542, dtw:not calculated
horizon:11 mse:0.32203084230422974, mae:0.4914100766181946, smape:32.178524136543274, dtw:not calculated
horizon:12 mse:0.25407177209854126, mae:0.37664878368377686, smape:24.636876583099365, dtw:not calculated
horizon:13 mse:0.5436540842056274, mae:0.6242150068283081, smape:40.363579988479614, dtw:not calculated
horizon:14 mse:0.5416728258132935, mae:0.5925875902175903, smape:38.21726143360138, dtw:not calculated
horizon:15 mse:1.890946626663208, mae:1.299445390701294, smape:80.14190793037415, dtw:not calculated
horizon:16 mse:0.5428465604782104, mae:0.6630157232284546, smape:43.07664930820465, dtw:not calculated
horizon:17 mse:0.556846559047699, mae:0.7053407430648804, smape:45.93859612941742, dtw:not calculated
horizon:18 mse:1.4116681814193726, mae:1.1847922801971436, smape:75.10049343109131, dtw:not calculated
horizon:19 mse:0.30432355403900146, mae:0.5222264528274536, smape:34.370818734169006, dtw:not calculated
horizon:20 mse:0.16424813866615295, mae:0.3755180835723877, smape:24.853280186653137, dtw:not calculated
horizon:21 mse:0.4386381506919861, mae:0.6498947143554688, smape:42.608195543289185, dtw:not calculated
horizon:22 mse:0.9159461259841919, mae:0.9287062883377075, smape:59.71532464027405, dtw:not calculated
horizon:23 mse:0.3951460123062134, mae:0.6190887689590454, smape:40.665897727012634, dtw:not calculated
horizon:24 mse:0.338426798582077, mae:0.5771062970161438, smape:38.004592061042786, dtw:not calculated
horizon:25 mse:0.8147256970405579, mae:0.8890612721443176, smape:57.482707500457764, dtw:not calculated
horizon:26 mse:0.286517471075058, mae:0.5074645280838013, smape:33.42996835708618, dtw:not calculated
horizon:27 mse:0.09115152060985565, mae:0.26387304067611694, smape:17.51728653907776, dtw:not calculated
horizon:28 mse:0.16296756267547607, mae:0.36774176359176636, smape:24.32868480682373, dtw:not calculated
horizon:29 mse:0.10266079008579254, mae:0.31391826272010803, smape:20.85292339324951, dtw:not calculated
horizon:30 mse:0.019976140931248665, mae:0.10068874061107635, smape:6.7049577832221985, dtw:not calculated
horizon:31 mse:0.02806430496275425, mae:0.15223351120948792, smape:10.140018165111542, dtw:not calculated
horizon:32 mse:0.015005704946815968, mae:0.09786330163478851, smape:6.520406156778336, dtw:not calculated
horizon:33 mse:0.32149583101272583, mae:0.5394655466079712, smape:35.48409044742584, dtw:not calculated
horizon:34 mse:0.06181633472442627, mae:0.21709224581718445, smape:14.434497058391571, dtw:not calculated
horizon:35 mse:0.1735703945159912, mae:0.4047888219356537, smape:26.808184385299683, dtw:not calculated
horizon:36 mse:0.033375006169080734, mae:0.1680913269519806, smape:11.19460016489029, dtw:not calculated
horizon:37 mse:0.01504865474998951, mae:0.11182159185409546, smape:7.453586161136627, dtw:not calculated
horizon:38 mse:0.017567003145813942, mae:0.0979933962225914, smape:6.5275803208351135, dtw:not calculated
horizon:39 mse:0.28129562735557556, mae:0.49586614966392517, smape:32.65777826309204, dtw:not calculated
horizon:40 mse:0.02707154117524624, mae:0.13375039398670197, smape:8.905290812253952, dtw:not calculated
horizon:41 mse:0.0640423521399498, mae:0.21135134994983673, smape:14.041146636009216, dtw:not calculated
horizon:42 mse:0.12106616795063019, mae:0.342651903629303, smape:22.747977077960968, dtw:not calculated
horizon:43 mse:0.22128701210021973, mae:0.46208852529525757, smape:30.55453896522522, dtw:not calculated
horizon:44 mse:0.09981171041727066, mae:0.2947368025779724, smape:19.569414854049683, dtw:not calculated
horizon:45 mse:0.4052562117576599, mae:0.6311507225036621, smape:41.458719968795776, dtw:not calculated
horizon:46 mse:0.22634434700012207, mae:0.47017693519592285, smape:31.089764833450317, dtw:not calculated
horizon:47 mse:0.39662641286849976, mae:0.6221249103546143, smape:40.87079465389252, dtw:not calculated
horizon:48 mse:0.6206738948822021, mae:0.7629133462905884, smape:49.626436829566956, dtw:not calculated
===============================================================================
average metrics: horizon upto:6 mse:0.13529324531555176, mae:0.3104334771633148, smape:20.529255270957947, dtw:not calculated
average metrics: horizon upto:12 mse:0.2026216685771942, mae:0.3782196640968323, smape:24.90750402212143, dtw:not calculated
===============================================================================
average of horizons: mse:0.31423419713974, mae:0.45707252621650696, smape:29.840582609176636, dtw:not calculated
mean smape over horizons:  29.840583230058353
fs47816@b8-3 Time-Series-Library$ python -u run.py   --task_name long_term_forecast   --is_training 1   --root_path ./dataset/illness/   --data_path national_illness_24_4.csv   --model_id modelitrans   --model iTransformer   --data custom   --features MS   --seq_len 64   --label_len 0   --pred_len 48   --e_layers 3   --d_layers 1   --factor 3   --enc_in 5   --dec_in 5   --c_out 5   --des 'Exp'   --d_model 512  --d_ff 512  --target ILITOTAL   --itr 1 --with_retrain 0




horizon:1 mse:0.07502414286136627, mae:0.20066800713539124, smape:13.304410874843597, dtw:not calculated
horizon:2 mse:0.3401865065097809, mae:0.5453444719314575, smape:35.81201434135437, dtw:not calculated
horizon:3 mse:0.10301550477743149, mae:0.23581171035766602, smape:15.590611100196838, dtw:not calculated
horizon:4 mse:0.043457288295030594, mae:0.2039947509765625, smape:13.583239912986755, dtw:not calculated
horizon:5 mse:0.15475718677043915, mae:0.3573837876319885, smape:23.652200400829315, dtw:not calculated
