date,Cases of acute respiratory infections,Cases of severe acute respiratory infections,Cases of influenza-like illnesses,Reported deaths caused by severe acute respiratory infections,A H1N12009 - Sentinel surveillance,A H1N12009 - Undefined surveillance,A H1N12009 - All types of surveillance,A H3 - Sentinel surveillance,A H3 - Undefined surveillance,A H3 - All types of surveillance,A H5 - Undefined surveillance,A H5 - All types of surveillance,A (unknown subtype) - Undefined surveillance,A (unknown subtype) - All types of surveillance,Influenza A - Sentinel surveillance,Influenza A - Undefined surveillance,Influenza A - All types of surveillance,B Victoria - Sentinel surveillance,B Victoria - Undefined surveillance,B Victoria - All types of surveillance,B (unknown lineage) - Sentinel surveillance,B (unknown lineage) - Undefined surveillance,B (unknown lineage) - All types of surveillance,Influenza B - Sentinel surveillance,Influenza B - Undefined surveillance,Influenza B - All types of surveillance,All strains - Sentinel surveillance,All strains - Undefined surveillance,All strains - All types of surveillance,Share of positive tests - Undefined surveillance,Share of positive tests - All types of surveillance,A H1N12009,A H3,A (unknown subtype),B Victoria,B Yamagata,B (unknown lineage),A H1N12009.1,A H1.1,A H3.1,A (unknown subtype).1,B Victoria.1,B Yamagata.1,B (unknown lineage).1,A H1N12009.2,A H3.2,A (unknown subtype).2,B Victoria.2,B Yamagata.2,B (unknown lineage).2,A H1N12009.3,A H1.3,A H3.3,A H5.3,A (unknown subtype).3,B Victoria.3,B Yamagata.3,B (unknown lineage).3,reported_sari_icu,outpatients_ari,outpatients_ili,inpatients_sari,inpatients_sari_icu,inf_negativenonsentinel,inf_negativenotdefined,spec_processed_nbnotdefined,spec_processed_nbsentinel,spec_received_nbnonsentinel,spec_received_nbnotdefined,spec_received_nbsentinel,inf_negativecombined,spec_processed_nbcombined,spec_received_nbcombined,date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT
1/5/2009,3170,0,3803,0,0,0,0,124,663,787,0,0,938,938,462,2595,3057,0,63,63,23,166,189,23,240,263,485,2837,3322,15.12985974,17.71638846,0,787,938,63,8,189,0,338,124,0,0,0,23,0,0,0,0,0,0,0,841,663,0,938,63,8,166,0,0,129968,0,0,0,0,18751,0,0,8135,0,0,18751,8135,1/5/2009 0:00,1.47138,1.54566,3245,2548,8956,1539,579428
1/12/2009,3415,0,4505,0,0,0,0,148,1030,1178,0,0,1338,1338,544,3391,3935,0,38,38,47,205,252,47,258,305,591,3653,4244,18.25587206,21.2093953,0,1178,1338,38,12,252,0,396,148,0,0,0,47,0,0,0,0,0,0,0,774,1030,0,1338,38,12,205,0,0,135078,0,0,0,0,20010,0,0,8159,0,0,20010,8159,1/12/2009 0:00,1.61555,1.64224,3142,3345,9289,1512,565631
1/19/2009,3728,0,3912,0,0,0,0,202,1104,1306,0,0,1742,1742,872,3752,4624,0,59,59,77,351,428,77,430,507,949,4186,5135,18.6118892,22.83135476,0,1306,1742,59,12,428,0,670,202,0,0,0,77,0,0,0,0,0,0,0,789,1104,0,1742,59,12,351,0,0,117194,0,0,0,0,22491,0,0,9360,0,0,22491,9360,1/19/2009 0:00,1.95333,1.96524,3602,4597,11456,1566,582932
1/26/2009,3461,0,3748,0,0,0,0,179,957,1136,1,1,1771,1771,757,3763,4520,0,76,76,86,640,726,86,727,813,843,4492,5335,19.20971605,22.81474512,0,1136,1771,76,7,726,0,578,179,0,0,0,86,0,0,0,0,0,0,0,914,957,1,1771,76,7,640,0,0,126883,0,0,0,0,23384,0,0,10878,0,0,23384,10878,1/26/2009 0:00,2.42907,2.34368,4039,6602,14324,1554,611176
2/2/2009,3029,0,3316,0,0,1,1,116,741,857,1,1,2368,2368,474,4272,4746,0,95,95,86,1079,1165,86,1190,1276,560,5471,6031,20.10436189,22.16220189,1,857,2368,95,7,1165,0,358,116,0,0,0,86,0,0,0,0,0,0,1,1084,741,1,2368,95,7,1079,0,0,124915,0,0,0,0,27213,0,0,12977,0,0,27213,12977,2/2/2009 0:00,2.96686,2.86057,4606,8882,18268,1580,638613
2/9/2009,2838,0,2578,0,0,3,3,90,738,828,1,1,2193,2193,284,4350,4634,0,75,75,102,1429,1531,102,1526,1628,386,5879,6265,20.47433308,21.81862506,3,828,2193,75,10,1531,0,194,90,0,0,0,102,0,0,0,0,0,0,3,1373,738,1,2193,75,10,1429,0,0,119460,0,0,0,0,28714,0,0,13940,0,0,28714,13940,2/9/2009 0:00,3.57354,3.3421,5064,11215,21667,1569,648304
2/16/2009,2460,0,2674,0,0,0,0,74,570,644,0,0,1946,1946,207,3972,4179,0,135,135,125,1545,1670,125,1702,1827,332,5682,6014,20.55493253,21.75595992,0,644,1946,135,13,1670,0,133,74,0,0,0,125,0,0,0,0,0,0,0,1421,570,0,1946,135,13,1545,0,0,134713,0,0,0,0,27643,0,0,12832,0,0,27643,12832,2/16/2009 0:00,3.36653,3.20566,4848,9851,20022,1543,624583
2/23/2009,1672,0,2040,0,0,2,2,55,545,600,0,0,1830,1830,152,3493,3645,0,114,114,175,1826,2001,175,1963,2138,327,5472,5799,19.86206897,21.04900181,2,600,1830,114,15,2001,0,97,55,0,0,0,175,0,0,0,0,0,0,2,1098,545,0,1830,114,15,1826,0,0,135872,0,0,0,0,27550,0,0,12991,0,0,27550,12991,2/23/2009 0:00,3.2962,3.10049,4694,10092,20450,1544,659573
3/2/2009,1950,0,1721,0,0,2,2,35,511,546,2,2,1722,1722,105,3230,3335,0,138,138,241,1888,2129,241,2051,2292,346,5296,5642,20.06592657,21.37688023,2,546,1722,138,13,2129,0,70,35,0,0,0,241,0,0,0,0,0,0,2,984,511,2,1722,138,13,1888,0,0,123527,0,0,0,0,26393,0,0,11868,0,0,26393,11868,3/2/2009 0:00,3.17227,2.95819,4420,9116,18441,1534,623389
3/9/2009,1923,0,1144,0,0,7,7,30,477,507,1,1,1380,1380,65,2536,2601,0,154,154,239,1687,1926,239,1871,2110,304,4418,4722,18.62170706,19.90305585,7,507,1380,154,4,1926,0,35,30,0,0,0,239,0,0,0,0,0,0,7,667,477,1,1380,154,4,1687,0,0,96524,0,0,0,0,23725,0,0,10576,0,0,23725,10576,3/9/2009 0:00,2.5804,2.46381,4046,7446,15711,1524,637672
3/16/2009,1972,0,1347,0,0,15,15,10,477,487,1,1,1103,1103,36,2156,2192,0,174,174,140,1478,1618,140,1669,1809,176,3830,4006,17.80484403,18.62303008,15,487,1103,174,11,1618,0,26,10,0,0,0,140,0,0,0,0,0,0,15,558,477,1,1103,174,11,1478,0,0,133473,0,0,0,0,21511,0,0,9552,0,0,21511,9552,3/16/2009 0:00,2.42922,2.19272,3657,6036,13277,1494,605503
3/23/2009,2179,0,1136,0,0,26,26,10,450,460,1,1,788,788,21,1675,1696,0,103,103,87,1052,1139,87,1164,1251,108,2843,2951,14.93407575,15.50139203,26,460,788,103,4,1139,0,11,10,0,0,0,87,0,0,0,0,0,0,26,408,450,1,788,103,4,1052,0,0,128373,0,0,0,0,19037,0,0,8219,0,0,19037,8219,3/23/2009 0:00,1.99028,1.87395,3237,5052,11400,1470,608342
3/30/2009,2006,0,1194,0,0,56,56,19,730,749,3,3,603,603,31,1659,1690,0,112,112,70,829,899,70,966,1036,101,2627,2728,15.03376445,15.61176605,56,749,603,112,10,899,0,12,19,0,0,0,70,0,0,0,0,0,0,56,255,730,3,603,112,10,829,0,0,116575,0,0,0,0,17474,0,0,6514,0,0,17474,6514,3/30/2009 0:00,1.72423,1.64817,2829,4283,9669,1440,586651
4/6/2009,1634,0,1156,0,0,57,57,15,497,512,1,1,403,403,21,1171,1192,0,88,88,62,547,609,62,653,715,83,1824,1907,12.68869565,13.26608696,57,512,403,88,12,609,0,6,15,0,0,0,62,0,0,0,0,0,0,57,202,497,1,403,88,12,547,0,0,128389,0,0,0,0,14375,0,0,6324,0,0,14375,6324,4/6/2009 0:00,1.60355,1.49878,2577,3407,8460,1422,564460
4/13/2009,1277,0,1092,0,0,150,150,15,405,420,2,2,343,343,25,1029,1054,0,105,105,76,416,492,76,529,605,101,1564,1665,10.38788523,11.05871413,150,420,343,105,6,492,0,10,15,0,0,0,76,0,0,0,0,0,0,150,126,405,2,343,105,6,416,0,0,128367,0,0,0,1,15056,0,0,5719,0,1,15056,5719,4/13/2009 0:00,1.28418,1.29233,2371,2761,7222,1415,558837
4/20/2009,1405,0,1080,0,0,1273,1273,24,536,560,3,3,519,519,29,2480,2509,0,83,83,73,273,346,73,366,439,102,2855,2957,16.08541326,16.66009353,1273,560,519,83,7,346,0,5,24,0,0,0,73,0,0,0,0,0,0,1273,148,536,3,519,83,7,273,0,0,127327,0,0,0,6,17749,0,0,5423,0,6,17749,5423,4/20/2009 0:00,1.2932,1.27164,2353,2855,7348,1445,577836
4/27/2009,1366,0,1065,0,0,3554,3554,73,1913,1986,0,0,1274,1274,76,7623,7699,0,110,110,39,1042,1081,39,1168,1207,115,8806,8921,15.02807311,15.22432889,3554,1986,1274,110,5,1081,0,3,73,0,0,0,39,0,0,0,0,0,0,3554,858,1913,0,1274,110,5,1042,0,0,113975,0,0,0,7,58597,0,0,37075,0,7,58597,37075,4/27/2009 0:00,2.74012,2.98159,4821,8043,18627,1405,624734
5/4/2009,1730,0,1097,0,2,3992,3994,68,1598,1666,0,0,1657,1657,72,7989,8061,0,94,94,18,691,709,18,797,815,90,8792,8882,15.29123259,15.44776249,3994,1666,1657,94,8,709,2,2,68,0,0,0,18,0,0,0,0,0,0,3992,675,1598,0,1657,94,8,691,0,0,133221,0,0,0,5,57497,0,0,35778,0,5,57497,35778,5/4/2009 0:00,2.22391,2.43702,3920,6221,14578,1422,598189
5/11/2009,1843,0,962,0,142,2745,2887,63,1003,1066,3,3,1224,1224,208,5278,5486,0,60,60,30,294,324,30,376,406,238,5655,5893,15.7947658,16.45951457,2887,1066,1224,60,11,324,142,3,63,0,0,0,30,0,0,0,0,0,0,2745,237,1003,3,1224,60,11,294,0,0,125555,0,0,0,11,35803,0,0,18527,0,11,35803,18527,5/11/2009 0:00,1.76657,2.2813,3236,5888,12554,1372,550300
5/18/2009,1515,0,910,0,150,3984,4134,326,810,1136,3,3,1559,1559,494,6614,7108,0,57,57,23,246,269,23,310,333,517,6932,7449,21.92491381,23.56011007,4134,1136,1559,57,2,269,150,18,326,0,0,0,23,0,0,0,0,0,0,3984,190,810,3,1559,57,2,246,0,0,131656,0,0,0,8,31617,0,0,17992,0,8,31617,17992,5/18/2009 0:00,1.92171,3.81572,4188,12026,20774,1331,544432
5/25/2009,1551,0,872,0,32,3961,3993,138,694,832,3,3,1524,1524,174,6356,6530,0,19,19,10,120,130,10,146,156,184,6505,6689,23.65970757,24.3289445,3993,832,1524,19,1,130,32,4,138,0,0,0,10,0,0,0,0,0,0,3961,99,694,3,1524,19,1,120,0,0,128781,0,0,0,4,27494,0,0,17121,0,4,27494,17121,5/25/2009 0:00,1.8611,4.21315,4496,12461,22394,1314,531526
6/1/2009,1368,0,775,0,54,6199,6253,47,955,1002,2,2,2057,2057,104,9433,9537,0,6,6,6,95,101,6,105,111,110,9543,9653,31.29160245,31.65229367,6253,1002,2057,6,0,101,54,3,47,0,0,0,6,0,0,0,0,0,0,6199,142,955,2,2057,6,0,95,0,0,126208,0,0,0,3,30497,0,0,18198,0,3,30497,18198,6/1/2009 0:00,1.68423,3.17832,3865,8615,17105,1305,538177
6/8/2009,1427,0,724,0,149,9403,9552,47,759,806,1,1,2450,2450,201,12824,13025,0,14,14,4,78,82,4,98,102,205,12929,13134,34.1720629,34.71388926,9552,806,2450,14,1,82,149,5,47,0,0,0,4,0,0,0,0,0,0,9403,128,759,1,2450,14,1,78,0,0,122124,0,0,0,2,37835,0,0,21578,0,2,37835,21578,6/8/2009 0:00,1.7393,2.50972,3072,5660,12392,1296,493761
6/15/2009,1307,0,733,0,209,11382,11591,37,793,830,1,1,3276,3276,248,15750,15998,0,49,49,4,121,125,4,192,196,252,15961,16213,31.80115561,32.30324766,11591,830,3276,49,6,125,209,2,37,0,0,0,4,0,0,0,0,0,0,11382,245,793,1,3276,49,6,121,0,0,119759,0,0,0,1,50190,0,0,28599,0,1,50190,28599,6/15/2009 0:00,1.83001,2.06632,2623,4740,10780,1280,521701
6/22/2009,1411,0,697,0,247,12341,12588,26,718,744,0,0,2608,2608,277,15890,16167,0,27,27,4,85,89,4,132,136,281,16025,16306,37.14736086,37.7987436,12588,744,2608,27,6,89,247,4,26,0,0,0,4,0,0,0,0,0,0,12341,190,718,0,2608,27,6,85,0,0,121982,0,0,0,1,43139,0,0,31097,0,1,43139,31097,6/22/2009 0:00,1.58128,1.71805,2299,3700,8801,1279,512268
6/29/2009,1261,0,644,0,394,11485,11879,22,729,751,0,0,1982,1982,423,14593,15016,0,20,20,0,79,79,0,118,118,423,14718,15141,36.21733353,37.25823121,11879,751,1982,20,11,79,394,7,22,0,0,0,0,0,0,0,0,0,0,11485,366,729,0,1982,20,11,79,0,0,116786,0,0,0,2,40638,0,0,31249,0,2,40638,31249,6/29/2009 0:00,1.49172,1.55965,2145,2893,7422,1237,475877
7/6/2009,152402,0,4571,0,782,10743,11525,35,937,972,0,0,1656,1656,819,13615,14434,0,13,13,4,96,100,4,113,117,823,13731,14554,34.88478443,36.97568659,11525,972,1656,13,4,100,782,2,35,0,0,0,4,0,0,0,0,0,0,10743,236,937,0,1656,13,4,96,0,18811,334132,0,0,0,2,39361,0,0,27943,0,2,39361,27943,7/6/2009 0:00,1.389,1.30856,1701,2481,6290,1246,480680
7/13/2009,141493,31,9217,0,1116,9707,10823,29,999,1028,0,0,1187,1187,1151,12148,13299,0,35,35,0,79,79,0,118,118,1151,12273,13424,39.88625284,43.62690933,10823,1028,1187,35,4,79,1116,6,29,0,0,0,0,0,0,0,0,0,0,9707,235,999,0,1187,35,4,79,0,19379,331211,0,0,0,4,30770,0,0,27292,0,4,30770,27292,7/13/2009 0:00,1.34702,1.18695,1581,2437,5964,1248,502466
7/20/2009,138546,35,9118,0,1011,9242,10253,27,1339,1366,0,0,1104,1104,1039,11993,13032,0,26,26,0,94,94,0,130,130,1039,12127,13166,37.36212952,40.56318935,10253,1366,1104,26,10,94,1011,1,27,0,0,0,0,0,0,0,0,0,0,9242,284,1339,0,1104,26,10,94,0,19997,313652,0,0,0,,32458,0,0,25916,0,,32458,25916,7/20/2009 0:00,1.16056,1.13796,1608,2285,5735,1248,503971
7/27/2009,149127,28,9874,0,748,9238,9986,13,1548,1561,2,2,1633,1633,761,12821,13582,0,17,17,0,91,91,0,117,117,761,12949,13710,38.4551421,40.715113,9986,1561,1633,17,9,91,748,0,13,0,0,0,0,0,0,0,0,0,0,9238,271,1548,2,1633,17,9,91,0,19587,303441,0,0,0,1,33673,0,0,26402,0,1,33673,26402,7/27/2009 0:00,1.2085,1.15005,1519,2199,5587,1254,485804
8/3/2009,160849,25,9957,0,1053,6065,7118,7,684,691,0,0,1233,1233,1060,8287,9347,0,1,1,0,116,116,0,121,121,1060,8415,9475,27.86239322,31.37209456,7118,691,1233,1,3,116,1053,0,7,0,0,0,0,0,0,0,0,0,0,6065,156,684,0,1233,1,3,116,0,17400,314423,0,0,0,1,30202,0,0,23981,0,1,30202,23981,8/3/2009 0:00,1.15544,1.11262,1651,2082,5526,1230,496666
8/10/2009,171272,18,10537,0,1122,7463,8585,8,1602,1610,0,0,1122,1122,1134,10503,11637,0,23,23,0,89,89,0,126,126,1134,10633,11767,34.61939181,38.31151918,8585,1610,1122,23,13,89,1122,4,8,0,0,0,0,0,0,0,0,0,0,7463,253,1602,0,1122,23,13,89,0,15444,298480,0,0,0,1,30714,0,0,24292,0,1,30714,24292,8/10/2009 0:00,1.14518,1.16142,1645,2321,5877,1234,506019
8/17/2009,162439,24,10275,0,1512,7824,9336,13,1798,1811,0,0,1170,1170,1528,11116,12644,0,6,6,0,105,105,0,136,136,1528,11253,12781,35.66380376,40.50644947,9336,1811,1170,6,20,105,1512,3,13,0,0,0,0,0,0,0,0,0,0,7824,289,1798,0,1170,6,20,105,0,22092,279260,0,0,0,,31553,0,0,25493,0,,31553,25493,8/17/2009 0:00,1.4664,1.64107,2167,4210,8941,1286,544827
8/24/2009,177612,373,10934,0,1001,7868,8869,5,2114,2119,2,2,1833,1833,1008,12194,13202,0,15,15,0,112,112,0,138,138,1008,12335,13343,32.63141187,35.29800799,8869,2119,1833,15,10,112,1001,2,5,0,0,0,0,0,0,0,0,0,0,7868,344,2114,2,1833,15,10,112,0,29223,314591,0,0,0,,37801,0,0,27663,0,,37801,27663,8/24/2009 0:00,2.38017,2.47166,2883,8253,14556,1320,588916
8/31/2009,201885,336,10347,0,595,9551,10146,4,2052,2056,0,0,2260,2260,599,14212,14811,0,17,17,0,111,111,0,149,149,599,14361,14960,31.37302021,32.68159476,10146,2056,2260,17,21,111,595,0,4,0,0,0,0,0,0,0,0,0,0,9551,328,2052,0,2260,17,21,111,0,34960,326284,0,0,0,3,45775,0,0,30770,0,3,45775,30770,8/31/2009 0:00,3.44681,3.71969,3713,13114,21350,1358,573972
9/7/2009,287364,133,15168,0,519,12931,13450,2,2180,2182,0,0,3085,3085,521,18606,19127,0,18,18,0,191,191,0,235,235,521,18841,19362,33.83800287,34.7737069,13450,2182,3085,18,26,191,519,0,2,0,0,0,0,0,0,0,0,0,0,12931,385,2180,0,3085,18,26,191,0,37303,330542,0,0,0,2,55680,0,0,36571,0,2,55680,36571,9/7/2009 0:00,4.05315,3.94975,4087,13407,22561,1367,571201
9/14/2009,348753,433,18737,0,717,13551,14268,3,1372,1375,1,1,2963,2963,720,18211,18931,0,9,9,0,126,126,0,148,148,720,18361,19081,32.79335596,34.07929987,14268,1375,2963,9,13,126,717,0,3,0,0,0,0,0,0,0,0,0,0,13551,315,1372,1,2963,9,13,126,0,45923,341606,0,0,0,3,55990,0,0,36800,0,3,55990,36800,9/14/2009 0:00,4.26621,4.08756,4445,15326,26091,1380,638302
9/21/2009,432916,424,12650,0,475,16635,17110,2,1174,1176,1,1,3063,3063,477,21140,21617,0,5,5,0,110,110,0,125,125,477,21267,21744,35.46509689,36.26054764,17110,1176,3063,5,10,110,475,0,2,0,0,0,0,0,0,0,0,0,0,16635,251,1174,1,3063,5,10,110,0,50042,305394,0,0,0,2,59966,0,0,37557,0,2,59966,37557,9/21/2009 0:00,4.21579,4.01897,4462,14152,24454,1313,608464
9/28/2009,506513,369,65232,0,754,14230,14984,1,693,694,0,0,3366,3366,755,18398,19153,0,6,6,0,145,145,0,166,166,755,18572,19327,31.25967818,32.53046523,14984,694,3366,6,15,145,754,0,1,0,0,0,0,0,0,0,0,0,0,14230,97,693,0,3366,6,15,145,0,3670,1185862,1060,0,0,2,59412,0,0,37365,0,2,59412,37365,9/28/2009 0:00,4.8861,4.60362,4974,16291,27919,1331,606458
10/5/2009,502743,693,75982,0,997,15291,16288,2,651,653,0,0,3777,3777,999,19856,20855,0,0,0,0,141,141,0,157,157,999,20019,21018,31.94147493,33.53543734,16288,653,3777,0,16,141,997,0,2,0,0,0,0,0,0,0,0,0,0,15291,129,651,0,3777,0,16,141,0,2812,1194960,848,0,0,6,62674,0,0,40497,0,6,62674,40497,10/5/2009 0:00,6.06923,5.66087,9302,27406,48420,2056,855346
10/12/2009,534198,757,88791,0,1027,20677,21704,0,510,510,0,0,3356,3356,1027,24703,25730,0,3,3,0,158,158,0,184,184,1027,24888,25915,34.97077338,36.41383768,21704,510,3356,3,17,158,1027,0,0,0,0,0,0,0,0,0,0,0,0,20677,148,510,0,3356,3,17,158,0,2873,1279076,730,0,0,1,71168,0,0,49470,0,1,71168,49470,10/12/2009 0:00,7.09467,6.81522,11527,32585,58196,2134,853912
10/19/2009,609309,976,93136,2,1399,27296,28695,0,388,388,0,0,4083,4083,1399,31992,33391,0,4,4,0,149,149,0,174,174,1399,32167,33566,36.98546659,38.59403026,28695,388,4083,4,12,149,1399,0,0,0,0,0,0,0,0,0,0,0,0,27296,167,388,0,4083,4,12,149,0,2832,1288179,676,0,0,5,86972,0,0,56749,0,5,86972,56749,10/19/2009 0:00,7.7151,7.61889,13187,39364,69068,2162,906536
10/26/2009,771125,1334,93947,1,1655,32143,33798,1,388,389,0,0,5067,5067,1656,37781,39437,0,1,1,0,129,129,0,139,139,1656,37921,39577,39.55501778,41.28237491,33798,389,5067,1,9,129,1655,0,1,0,0,0,0,0,0,0,0,0,0,32143,143,388,0,5067,1,9,129,0,4271,1302664,1129,0,0,2,95869,0,0,59883,0,2,95869,59883,10/26/2009 0:00,7.55134,7.38836,13174,36860,66411,2167,898860
11/2/2009,944666,2068,107408,13,1431,34981,36412,0,288,288,0,0,5246,5246,1431,40673,42104,0,4,4,0,146,146,0,161,161,1431,40836,42267,38.86884762,40.23091347,36412,288,5246,4,3,146,1431,0,0,0,0,0,0,0,0,0,0,0,0,34981,144,288,0,5246,4,3,146,0,11764,1257556,1293,0,0,7,105061,0,0,62295,0,7,105061,62295,11/2/2009 0:00,6.67118,6.33927,12161,30860,57017,2197,899425
11/9/2009,1005562,2976,122553,6,1554,34970,36524,0,217,217,0,0,3243,3243,1554,38601,40155,0,2,2,0,91,91,0,108,108,1554,38714,40268,38.22132709,39.75555095,36524,217,3243,2,13,91,1554,0,0,0,0,0,0,0,0,0,0,0,0,34970,133,217,0,3243,2,13,91,0,15769,1281073,1465,0,0,2,101289,0,0,57316,0,2,101289,57316,11/9/2009 0:00,5.20633,4.94349,10151,21112,42729,2191,864348
11/16/2009,1078832,3113,134362,23,1573,32708,34281,0,267,267,1,1,2354,2354,1573,35989,37562,0,1,1,0,149,149,1,158,159,1574,36148,37722,38.10909398,39.76848631,34281,267,2354,1,8,149,1573,0,0,0,0,0,0,0,0,0,0,0,0,32708,139,267,1,2354,1,8,149,0,13089,1059664,1412,0,0,5,94854,0,0,56512,0,5,94854,56512,11/16/2009 0:00,4.04477,3.80996,8979,14652,32520,2157,853552
11/23/2009,966498,2031,133493,20,1399,25084,26483,0,200,200,1,1,1892,1892,1399,27748,29147,0,0,0,0,97,97,0,107,107,1399,27857,29256,36.46920207,38.30071349,26483,200,1892,0,9,97,1399,0,0,0,0,0,0,0,0,0,0,0,0,25084,120,200,1,1892,0,9,97,0,12111,1210506,1479,0,0,2,76385,0,0,44462,0,2,76385,44462,11/23/2009 0:00,3.49722,3.44106,7716,8237,22508,2146,654101
11/30/2009,793915,2255,120332,23,1424,18631,20055,0,124,124,0,0,1250,1250,1424,20386,21810,0,0,0,0,112,112,0,131,131,1424,20521,21945,30.57815527,32.7000447,20055,124,1250,0,12,112,1424,0,0,0,0,0,0,0,0,0,0,0,0,18631,116,124,0,1250,0,12,112,0,9400,1149613,1499,0,0,2,67110,0,0,42225,0,2,67110,42225,11/30/2009 0:00,2.69023,2.66773,7195,7988,21730,2122,814550
12/7/2009,733948,2190,116211,7,1284,15467,16751,0,200,200,1,1,913,913,1284,16885,18169,0,8,8,0,241,241,1,250,251,1285,17137,18422,27.61137517,29.68178523,16751,200,913,8,1,241,1284,0,0,0,0,0,0,0,0,0,0,0,0,15467,102,200,1,913,8,1,241,0,2978,1114098,1693,0,0,1,62065,0,0,39565,0,1,62065,39565,12/7/2009 0:00,2.47119,2.47183,6490,7218,19325,2093,781811
12/14/2009,737902,2099,91622,15,1019,11698,12717,0,182,182,1,1,741,741,1019,12843,13862,0,1,1,0,232,232,0,234,234,1019,13078,14097,24.2301849,26.11813095,12717,182,741,1,1,232,1019,0,0,0,0,0,0,0,0,0,0,0,0,11698,62,182,1,741,1,1,232,0,6641,866002,1690,0,0,3,53974,0,0,36003,0,3,53974,36003,12/14/2009 0:00,2.44773,2.345,6275,5785,17081,2014,728401
12/21/2009,580923,1936,61928,19,604,8551,9155,0,174,174,0,0,521,521,604,9362,9966,0,19,19,0,430,430,0,456,456,604,9818,10422,23.0399174,24.45732523,9155,174,521,19,6,430,604,0,0,0,0,0,0,0,0,0,0,0,0,8551,22,174,0,521,19,6,430,0,5687,941691,1563,0,0,,42613,0,0,29364,0,,42613,29364,12/21/2009 0:00,2.64594,2.71435,6078,4127,14575,1934,536961
12/28/2009,362000,1610,19521,13,174,5420,5594,0,78,78,0,0,459,459,174,5978,6152,0,40,40,0,490,490,0,541,541,174,6519,6693,19.69962529,20.22543213,5594,78,459,40,8,490,174,0,0,0,0,0,0,0,0,0,0,0,0,5420,17,78,0,459,40,8,490,0,426,204918,898,0,0,1,33092,0,0,27176,0,1,33092,27176,12/28/2009 0:00,2.61567,2.67667,6598,3726,15613,1937,583299
1/4/2010,891983,1813,46764,0,503,5155,5658,0,110,110,0,0,394,394,503,5890,6393,0,79,79,0,760,760,0,856,856,503,6754,7257,17.05081922,18.3206685,5658,110,394,79,17,760,503,0,0,0,0,0,0,0,0,0,0,0,0,5155,17,110,0,394,79,17,760,0,112752,1247083,1539,0,0,1,39611,0,0,31323,0,1,39611,31323,1/4/2010 0:00,1.90712,1.98284,4998,3961,14299,1996,721138
1/11/2010,1108769,1672,43204,0,479,3728,4207,0,87,87,2,2,443,443,479,4440,4919,0,80,80,0,1113,1113,1,1214,1215,480,5663,6143,14.36398224,15.58148383,4207,87,443,80,22,1113,479,0,0,0,0,1,0,0,0,0,0,0,0,3728,30,87,2,443,80,21,1113,0,116578,1247479,2053,0,0,3,39425,0,0,31801,0,3,39425,31801,1/11/2010 0:00,1.86738,1.82749,4877,4614,14088,2016,770895
1/18/2010,1179281,1364,42023,0,541,2842,3383,0,86,86,1,1,422,422,541,3454,3995,1,33,34,0,1519,1519,1,1587,1588,542,5056,5598,14.13593536,15.65129868,3383,86,422,34,8,1519,541,0,0,0,1,0,0,0,0,0,0,0,0,2842,35,86,1,422,33,8,1519,0,117958,1231987,1800,0,0,1,35767,0,0,28654,0,1,35767,28654,1/18/2010 0:00,1.88072,1.92606,5399,5079,14757,2053,766177
1/25/2010,1226334,1244,44188,0,407,1936,2343,0,91,91,0,0,296,296,407,2413,2820,2,56,58,0,1485,1485,2,1548,1550,409,3967,4376,12.08382832,13.32967803,2343,91,296,58,6,1485,407,0,0,0,2,0,0,0,0,0,0,0,0,1936,24,91,0,296,56,6,1485,0,115602,1259480,1877,0,0,2,32829,0,0,26310,0,2,32829,26310,1/25/2010 0:00,1.96908,1.92495,5333,5655,15122,2026,785580
2/1/2010,1160908,1223,46034,0,342,1758,2100,0,74,74,2,2,329,329,342,2236,2578,3,125,128,1,1344,1345,4,1508,1512,346,3746,4092,11.4434092,12.50038185,2100,74,329,128,39,1345,342,0,0,0,3,0,1,0,0,0,0,0,0,1758,18,74,2,329,125,39,1344,0,116327,1239652,1913,0,0,,32735,0,0,25401,0,,32735,25401,2/1/2010 0:00,2.11387,2.08877,5816,6142,16037,1996,767773
2/8/2010,1284246,928,44750,0,262,1618,1880,0,81,81,2,2,296,296,262,2064,2326,1,125,126,2,1102,1104,3,1289,1292,265,3365,3630,11.04981447,11.92000788,1880,81,296,126,58,1104,262,0,0,0,1,0,2,0,0,0,0,0,0,1618,39,81,2,296,125,58,1102,0,118370,1243474,1549,0,0,9,30453,0,0,23291,0,9,30453,23291,2/8/2010 0:00,2.09695,2.03434,5496,5577,15381,1977,756068
2/15/2010,1271689,1035,39481,0,251,1362,1613,0,55,55,3,3,270,270,251,1765,2016,4,46,50,0,737,737,4,801,805,255,2577,2832,9.239208375,10.15344902,1613,55,270,50,17,737,251,0,0,0,4,0,0,0,0,0,0,0,0,1362,58,55,3,270,46,17,737,0,112534,1222778,1296,0,0,22,27892,0,0,23396,0,22,27892,23396,2/15/2010 0:00,1.90294,1.97649,5388,5536,15065,1954,762208
